Unix Time,Run time (s),Latitude,Longitude,True Heading (degrees),Target Heading (degrees),Real Left Wheel Speed (mph),Real Right Wheel Speed (mph),Target Left Speed (mph),Target Right Speed (mph),Heading Accuracy (deg),GPS Accuracy (mm),Fix Type
1659476403,0,40.4717185,-86.9951853,167.82,169.75,0.0,0.0,0.3,0.285,1.08,504,RTK float,
1659476403,0,40.4717185,-86.9951853,167.82,165.66,0.76,0.76,0.0,0.0,1.08,504,RTK float,
1659476403,0,40.4717185,-86.9951853,167.82,165.66,0.76,0.76,0.0,0.0,1.08,504,RTK float,
1659476403,0,40.4717185,-86.9951853,167.82,165.66,0.57,0.57,0.0,0.0,1.08,504,RTK float,
1659476403,0,40.4717185,-86.9951853,167.82,165.66,0.14,0.14,0.0,0.0,1.08,504,RTK float,
1659476403,0,40.4717174,-86.9951851,167.58,165.66,0.14,0.14,0.0,0.0,1.08,498,RTK float,
1659476403,0,40.4717174,-86.9951851,167.58,165.66,0.0,0.0,0.0,0.0,1.08,498,RTK float,
1659476403,0,40.4717174,-86.9951851,167.58,165.66,0.0,0.0,0.0,0.0,1.08,498,RTK float,
1659476403,0,40.4717174,-86.9951851,167.58,165.66,0.0,0.0,0.0,0.0,1.08,498,RTK float,
1659476403,0,40.4717174,-86.9951851,167.58,165.66,0.0,0.0,0.0,0.0,1.08,498,RTK float,
1659476403,0,40.4717174,-86.9951851,167.58,165.66,0.0,0.0,0.0,0.0,1.08,498,RTK float,
1659476403,0,40.4717174,-86.9951851,167.58,165.66,0.0,0.0,0.0,0.0,1.08,498,RTK float,
1659476403,0,40.4717173,-86.9951851,167.8,165.66,0.0,0.0,0.0,0.0,1.08,491,RTK float,
1659476403,0,40.4717173,-86.9951851,167.8,165.66,0.0,0.0,0.0,0.0,1.08,491,RTK float,
1659476403,0,40.4717173,-86.9951851,167.8,165.66,0.0,0.0,0.0,0.0,1.08,491,RTK float,
1659476403,0,40.4717173,-86.9951851,167.8,165.66,0.0,0.0,0.0,0.0,1.08,491,RTK float,
1659476403,0,40.4717173,-86.9951851,167.8,165.66,0.0,0.0,0.0,0.0,1.08,491,RTK float,
1659476403,0,40.4717173,-86.9951851,167.8,165.66,0.0,0.0,0.0,0.0,1.08,491,RTK float,
1659476403,0,40.4717173,-86.9951851,167.8,165.66,0.0,0.0,0.0,0.0,1.08,491,RTK float,
1659476403,0,40.4717172,-86.9951853,167.9,165.66,0.0,0.0,0.0,0.0,1.1,543,RTK float,
